"Time","bpd fp","bpd favorite person"
"2015-01-01",0,0
"2015-02-01",0,0
"2015-03-01",0,0
"2015-04-01",0,0
"2015-05-01",0,0
"2015-06-01",0,0
"2015-07-01",0,0
"2015-08-01",0,0
"2015-09-01",0,0
"2015-10-01",0,0
"2015-11-01",0,0
"2015-12-01",0,0
"2016-01-01",0,10
"2016-02-01",0,7
"2016-03-01",0,0
"2016-04-01",8,7
"2016-05-01",10,9
"2016-06-01",11,6
"2016-07-01",7,0
"2016-08-01",15,0
"2016-09-01",7,0
"2016-10-01",0,0
"2016-11-01",0,0
"2016-12-01",10,0
"2017-01-01",17,0
"2017-02-01",9,0
"2017-03-01",10,0
"2017-04-01",8,0
"2017-05-01",10,6
"2017-06-01",8,0
"2017-07-01",0,0
"2017-08-01",0,0
"2017-09-01",0,0
"2017-10-01",0,0
"2017-11-01",0,0
"2017-12-01",0,0
"2018-01-01",8,9
"2018-02-01",6,9
"2018-03-01",0,0
"2018-04-01",0,10
"2018-05-01",10,7
"2018-06-01",14,9
"2018-07-01",12,9
"2018-08-01",7,10
"2018-09-01",7,12
"2018-10-01",10,10
"2018-11-01",7,9
"2018-12-01",10,8
"2019-01-01",7,10
"2019-02-01",7,8
"2019-03-01",6,6
"2019-04-01",0,11
"2019-05-01",10,11
"2019-06-01",15,10
"2019-07-01",9,12
"2019-08-01",8,6
"2019-09-01",0,9
"2019-10-01",7,7
"2019-11-01",0,10
"2019-12-01",0,12
"2020-01-01",0,14
"2020-02-01",9,12
"2020-03-01",6,12
"2020-04-01",7,15
"2020-05-01",12,20
"2020-06-01",7,16
"2020-07-01",10,21
"2020-08-01",12,31
"2020-09-01",10,24
"2020-10-01",9,28
"2020-11-01",10,41
"2020-12-01",19,62
"2021-01-01",28,68
"2021-02-01",20,51
"2021-03-01",25,60
"2021-04-01",30,59
"2021-05-01",33,60
"2021-06-01",41,54
"2021-07-01",26,48
"2021-08-01",29,56
"2021-09-01",35,62
"2021-10-01",41,74
"2021-11-01",42,67
"2021-12-01",36,59
"2022-01-01",37,62
"2022-02-01",31,61
"2022-03-01",30,45
"2022-04-01",35,75
"2022-05-01",31,77
"2022-06-01",31,69
"2022-07-01",33,65
"2022-08-01",36,52
"2022-09-01",27,56
"2022-10-01",35,99
"2022-11-01",33,100
"2022-12-01",36,86
"2023-01-01",41,85
"2023-02-01",31,86
"2023-03-01",45,81
"2023-04-01",39,80
"2023-05-01",35,77
"2023-06-01",30,77
"2023-07-01",27,75
"2023-08-01",28,69
"2023-09-01",40,74
"2023-10-01",27,77
"2023-11-01",32,68
"2023-12-01",41,68
"2024-01-01",35,70
"2024-02-01",41,64
"2024-03-01",40,63
"2024-04-01",36,73
"2024-05-01",36,67
"2024-06-01",36,70
"2024-07-01",33,62
"2024-08-01",25,62
"2024-09-01",36,61
"2024-10-01",30,64
"2024-11-01",28,62
"2024-12-01",34,55
"2025-01-01",34,51
"2025-02-01",33,60
"2025-03-01",35,63
"2025-04-01",32,53
"2025-05-01",28,56
"2025-06-01",31,65
"2025-07-01",31,44
"2025-08-01",35,54
"2025-09-01",28,63
"2025-10-01",32,58
"2025-11-01",33,54
"2025-12-01",35,52
"2026-01-01",36,64
"2026-02-01",38,52
"2026-03-01",30,66
"2026-04-01",32,49